z	dens_1	dens_2	dens_3	dens_moy	se_moy
-16.500000	0.350000	0.340000	0.340000	0.343333	0.003333
-15.500000	0.260000	0.250000	0.250000	0.253333	0.003333
-14.500000	0.180000	0.170000	0.170000	0.173333	0.003333
-13.500000	0.110000	0.100000	0.100000	0.103333	0.003333
-12.500000	0.060000	0.050000	0.050000	0.053333	0.003333
-11.500000	0.030000	0.020000	0.020000	0.023333	0.003333
-10.500000	0.010000	0.010000	0.010000	0.010000	0.000000
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000
8.500000	0.000000	0.000000	0.000000	0.000000	0.000000
9.500000	0.000000	0.000000	0.000000	0.000000	0.000000
10.500000	0.010000	0.010000	0.010000	0.010000	0.000000
11.500000	0.020000	0.020000	0.020000	0.020000	0.000000
12.500000	0.050000	0.050000	0.050000	0.050000	0.000000
13.500000	0.100000	0.100000	0.100000	0.100000	0.000000
14.500000	0.170000	0.170000	0.170000	0.170000	0.000000
15.500000	0.250000	0.250000	0.260000	0.253333	0.003333
16.500000	0.340000	0.340000	0.340000	0.340000	0.000000
17.500000	0.420000	0.420000	0.430000	0.423333	0.003333
18.500000	0.490000	0.490000	0.490000	0.490000	0.000000
19.500000	0.560000	0.560000	0.560000	0.560000	0.000000
20.500000	0.620000	0.620000	0.630000	0.623333	0.003333
21.500000	0.700000	0.700000	0.700000	0.700000	0.000000
22.500000	0.770000	0.770000	0.780000	0.773333	0.003333
23.500000	0.840000	0.840000	0.850000	0.843333	0.003333
24.500000	0.900000	0.900000	0.900000	0.900000	0.000000
25.500000	0.940000	0.940000	0.950000	0.943333	0.003333
26.500000	0.970000	0.970000	0.970000	0.970000	0.000000
27.500000	0.990000	0.990000	0.990000	0.990000	0.000000
28.500000	1.000000	0.990000	0.990000	0.993333	0.003333
29.500000	1.000000	1.000000	1.000000	1.000000	0.000000
30.500000	1.000000	1.000000	1.000000	1.000000	0.000000
31.500000	1.000000	1.000000	1.000000	1.000000	0.000000
32.500000	1.000000	1.000000	1.000000	1.000000	0.000000
33.500000	1.000000	1.000000	1.000000	1.000000	0.000000
34.500000	1.000000	1.000000	1.000000	1.000000	0.000000
35.500000	1.000000	1.000000	1.000000	1.000000	0.000000
36.500000	1.000000	1.000000	1.000000	1.000000	0.000000
37.500000	1.000000	1.000000	1.000000	1.000000	0.000000
38.500000	1.000000	1.000000	1.000000	1.000000	0.000000
39.500000	1.000000	1.000000	1.000000	1.000000	0.000000
40.500000	1.000000	1.000000	1.000000	1.000000	0.000000
41.500000	1.000000	1.000000	1.000000	1.000000	0.000000
42.500000	1.000000	1.000000	1.000000	1.000000	0.000000
43.500000	1.000000	1.000000	1.000000	1.000000	0.000000
44.500000	1.000000	1.000000	1.000000	1.000000	0.000000
45.500000	1.000000	1.000000	1.000000	1.000000	0.000000
46.500000	1.000000	1.000000	1.000000	1.000000	0.000000
47.500000	1.000000	1.000000	1.000000	1.000000	0.000000
48.500000	1.000000	1.000000	1.000000	1.000000	0.000000
49.500000	1.000000	1.000000	1.000000	1.000000	0.000000
50.500000	1.000000	1.000000	1.000000	1.000000	0.000000
51.500000	1.000000	1.000000	1.000000	1.000000	0.000000
52.500000	1.000000	1.000000	1.000000	1.000000	0.000000
53.500000	1.000000	1.000000	1.000000	1.000000	0.000000
54.500000	1.000000	1.000000	1.000000	1.000000	0.000000
55.500000	1.000000	1.000000	1.000000	1.000000	0.000000
56.500000	1.000000	1.000000	1.000000	1.000000	0.000000
57.500000	1.000000	1.000000	1.000000	1.000000	0.000000
58.500000	1.000000	1.000000	1.000000	1.000000	0.000000
59.500000	0.980000	0.980000	0.980000	0.980000	0.000000
60.500000	0.930000	0.930000	0.930000	0.930000	0.000000
61.500000	0.810000	0.820000	0.810000	0.813333	0.003333
62.500000	0.610000	0.630000	0.600000	0.613333	0.008819
63.500000	0.380000	0.400000	0.360000	0.380000	0.011547
64.500000	0.190000	0.210000	0.170000	0.190000	0.011547
65.500000	0.070000	0.080000	0.060000	0.070000	0.005774
66.500000	0.020000	0.020000	0.020000	0.020000	0.000000
67.500000	0.000000	0.000000	0.010000	0.003333	0.003333
68.500000	0.000000	0.000000	0.000000	0.000000	0.000000
69.500000	0.000000	0.000000	0.000000	0.000000	0.000000
